"txn_year","pr","u_count"
2025-01-01 00:00:00.000 +0300,206,69
2024-01-01 00:00:00.000 +0300,261,1
2023-01-01 00:00:00.000 +0300,273,6
2022-01-01 00:00:00.000 +0300,249,5022
2020-01-01 00:00:00.000 +0300,81,1302
2023-01-01 00:00:00.000 +0300,435,344
2021-01-01 00:00:00.000 +0300,211,210
2021-01-01 00:00:00.000 +0300,487,196
2025-01-01 00:00:00.000 +0300,87,37
2021-01-01 00:00:00.000 +0300,408,744
2021-01-01 00:00:00.000 +0300,0,20
2020-01-01 00:00:00.000 +0300,535,28
2022-01-01 00:00:00.000 +0300,321,101
2020-01-01 00:00:00.000 +0300,308,60
2025-01-01 00:00:00.000 +0300,523,27
2024-01-01 00:00:00.000 +0300,507,6863
2020-01-01 00:00:00.000 +0300,561,2
2023-01-01 00:00:00.000 +0300,195,1078
2020-01-01 00:00:00.000 +0300,546,2
2021-01-01 00:00:00.000 +0300,606,6
2021-01-01 00:00:00.000 +0300,558,84
2025-01-01 00:00:00.000 +0300,122,26
2024-01-01 00:00:00.000 +0300,271,67
2024-01-01 00:00:00.000 +0300,108,204
2023-01-01 00:00:00.000 +0300,406,10
2021-01-01 00:00:00.000 +0300,547,208
2021-01-01 00:00:00.000 +0300,153,17
2020-01-01 00:00:00.000 +0300,36,47
2021-01-01 00:00:00.000 +0300,88,70
2020-01-01 00:00:00.000 +0300,488,16
2025-01-01 00:00:00.000 +0300,217,97
2022-01-01 00:00:00.000 +0300,408,415
2022-01-01 00:00:00.000 +0300,632,33
2025-01-01 00:00:00.000 +0300,451,1
2021-01-01 00:00:00.000 +0300,550,169
2023-01-01 00:00:00.000 +0300,564,108
2025-01-01 00:00:00.000 +0300,169,20
2021-01-01 00:00:00.000 +0300,415,1380
2022-01-01 00:00:00.000 +0300,136,124
2024-01-01 00:00:00.000 +0300,126,2
2022-01-01 00:00:00.000 +0300,167,27
2021-01-01 00:00:00.000 +0300,555,118
2021-01-01 00:00:00.000 +0300,314,74
2024-01-01 00:00:00.000 +0300,67,1760
2025-01-01 00:00:00.000 +0300,533,10
2024-01-01 00:00:00.000 +0300,165,73
2023-01-01 00:00:00.000 +0300,225,5956
2021-01-01 00:00:00.000 +0300,144,295
2024-01-01 00:00:00.000 +0300,196,2941
2024-01-01 00:00:00.000 +0300,606,27
2023-01-01 00:00:00.000 +0300,496,231
2024-01-01 00:00:00.000 +0300,694,36
2024-01-01 00:00:00.000 +0300,607,20
2022-01-01 00:00:00.000 +0300,140,1
2020-01-01 00:00:00.000 +0300,154,48
2023-01-01 00:00:00.000 +0300,123,36
2021-01-01 00:00:00.000 +0300,559,76
2021-01-01 00:00:00.000 +0300,542,312
2020-01-01 00:00:00.000 +0300,189,90
2023-01-01 00:00:00.000 +0300,524,8552
2022-01-01 00:00:00.000 +0300,492,413
2024-01-01 00:00:00.000 +0300,569,1
2023-01-01 00:00:00.000 +0300,534,235
2022-01-01 00:00:00.000 +0300,606,13
2023-01-01 00:00:00.000 +0300,484,70
2024-01-01 00:00:00.000 +0300,176,248
2025-01-01 00:00:00.000 +0300,101,704
2023-01-01 00:00:00.000 +0300,93,629
2022-01-01 00:00:00.000 +0300,185,834
2022-01-01 00:00:00.000 +0300,533,299
2021-01-01 00:00:00.000 +0300,438,348
2020-01-01 00:00:00.000 +0300,320,103
2021-01-01 00:00:00.000 +0300,8,22147
2021-01-01 00:00:00.000 +0300,114,86
